EarthquakeNo,AreaDesc,CountyName,StationName,StationID,SeismicIntensity,EpicenterDistance,EWComponent_pga,NSComponent_pga,VComponent_pga,EWComponent_pgv,NSComponent_pgv,VComponent_pgv,WaveImageURI
114116,臺東縣地區,臺東縣,利稻,ELD,2級,48.64,4.18,4.63,3.07,0.17,0.23,0.13,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-ELD.gif
114116,臺東縣地區,臺東縣,鹿野,LONT,2級,65.91,3.94,2.49,3.44,0.16,0.14,0.13,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-LONT.gif
114116,臺東縣地區,臺東縣,卑南,TWG,2級,66.46,2.83,3.24,2.61,0.18,0.18,0.1,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-TWG.gif
114116,臺東縣地區,臺東縣,海端,EHD,2級,67.13,5.25,3.38,7.18,0.12,0.17,0.18,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-EHD.gif
114116,臺東縣地區,臺東縣,太麻里,ECL,2級,75.78,3.4,2.83,2.43,0.17,0.17,0.09,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-ECL.gif
114116,臺東縣地區,臺東縣,東河,EDH,2級,80.02,3.74,3.77,1.47,0.16,0.18,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-EDH.gif
114116,臺東縣地區,臺東縣,成功,CHK,2級,84.54,2.61,2.4,1.61,0.14,0.16,0.08,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-CHK.gif
114116,臺東縣地區,臺東縣,長濱,ECB,2級,93.7,4.13,3.86,1.46,0.28,0.32,0.14,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-ECB.gif
114116,臺東縣地區,臺東縣,臺東市,TTN,1級,76.94,1.43,1.98,1.08,0.11,0.2,0.06,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-TTN.gif
114116,臺東縣地區,臺東縣,大武,TAW,1級,96.62,1.01,1.21,0.69,0.05,0.07,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-TAW.gif
114116,臺東縣地區,臺東縣,綠島,LDU,1級,108.78,1.01,1.83,0.57,0.07,0.12,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-LDU.gif
114116,臺東縣地區,臺東縣,蘭嶼,LAY,1級,162.26,1.22,1.52,0.53,0.06,0.06,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-LAY.gif
114116,澎湖縣地區,澎湖縣,馬公市,PNG,2級,110.35,3.26,3.05,1.28,0.15,0.1,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-PNG.gif
114116,澎湖縣地區,澎湖縣,東吉島,WDG,1級,90.99,1.53,1.21,1.03,0.18,0.06,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-WDG.gif
114116,彰化縣地區,彰化縣,二林,WRL,4級,83.89,24.78,21.95,13.38,0.92,0.68,0.36,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/4-WRL.gif
114116,彰化縣地區,彰化縣,大城,WTC,3級,81.95,11.93,12.97,3.88,0.78,0.57,0.17,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-WTC.gif
114116,彰化縣地區,彰化縣,鹿港,B112,3級,99.71,10.84,8.98,5.68,0.36,0.35,0.17,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-B112.gif
114116,彰化縣地區,彰化縣,彰化市,WCHH,3級,101.64,11.82,12.06,8.03,0.29,0.3,0.21,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-WCHH.gif
114116,彰化縣地區,彰化縣,員林,WYL,2級,88.49,6.9,5.22,4.8,0.25,0.21,0.22,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-WYL.gif
114116,新竹縣地區,新竹縣,五峰,NFF,1級,172.87,0.75,0.62,0.55,0.04,0.03,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-NFF.gif
114116,新竹縣地區,新竹縣,竹東,NJD,1級,182.83,0.94,1.05,0.73,0.05,0.04,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-NJD.gif
114116,新竹縣地區,新竹縣,關西,KSHI,1級,190.0,1.05,0.86,0.35,0.05,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-KSHI.gif
114116,臺中市地區,臺中市,梧棲,WWC,3級,121.33,8.91,12.05,7.47,0.45,0.57,0.19,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/3-WWC.gif
114116,臺中市地區,臺中市,霧峰,B219,2級,98.66,8.04,7.57,3.7,0.3,0.25,0.15,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/2-B219.gif
114116,臺中市地區,臺中市,臺中市,TCU,1級,109.83,2.4,2.04,1.74,0.09,0.06,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-TCU.gif
114116,臺中市地區,臺中市,烏石坑,WHP,1級,130.04,1.42,1.43,1.45,0.09,0.1,0.07,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-WHP.gif
114116,臺中市地區,臺中市,德基,TWT,1級,135.67,0.96,2.44,0.92,0.04,0.1,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025116/1-TWT.gif
